2019-01-25 17:24:50,563 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-02-10 21:36:19,049 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2019-02-15 09:44:53,769 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-02-15 11:23:22,539 [Worker-49] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 03-Loja-App:03-Loja-App:1.0 -SNAPSHOT @ C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\pom.xml.
2019-02-15 11:23:23,445 [Worker-49] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /03-Loja-App/src
2019-02-15 11:23:23,448 [Worker-49] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /03-Loja-App/src overlaps with sources folder /03-Loja-App/src
2019-02-15 11:23:23,455 [Worker-49] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /03-Loja-App/src/test/java because it overlaps with /03-Loja-App/src
2019-02-15 11:23:23,552 [Worker-49] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-02-15 11:23:23,960 [Worker-49] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 03-Loja-App:03-Loja-App:1.0 -SNAPSHOT @ C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\pom.xml.
2019-02-15 11:23:24,345 [Worker-49] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /03-Loja-App/src
2019-02-15 11:23:24,346 [Worker-49] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /03-Loja-App/src overlaps with sources folder /03-Loja-App/src
